Date,Category,Title,Link
2026-04-27 13:59:00,Gündem,Bakan Gürlek: Kaynağı belli olmayan parayla mücadelemiz devam edecek,https://www.hurriyet.com.tr/gundem/bakan-gurlek-kaynagi-belli-olmayan-parayla-mucadelemiz-devam-edecek-43160585
2026-04-27 13:25:00,Gündem,"Nusret'in kardeşi Özgür Gökçe, 'çocuğun fuhşuna aracılık etme' suçundan tutuklandı",https://www.hurriyet.com.tr/gundem/nusretin-kardesi-ozgur-gokce-cocugun-fuhsuna-aracilik-etme-sucundan-tutuklandi-43160555
2026-04-27 13:04:00,Gündem,Belediye başkanının sekreterine satırlı saldırı: Dehşet anı kamerada,https://www.hurriyet.com.tr/gundem/belediye-baskaninin-sekreterine-satirli-saldiri-dehset-ani-kamerada-43160540
2026-03-12 11:19:46,Ekonomi,Sosyal medyaya ve doğum iznine yönelik düzenlemeleri de içeren kanun teklifinin komisyon görüşmeleri ertelendi,https://www.hurriyet.com.tr/ekonomi/sosyal-medyaya-ve-dogum-iznine-yonelik-duzenlemeleri-de-iceren-kanun-teklifinin-komisyon-gorusmeleri-ertelendi-43127192
2025-08-14 18:56:36,Ekonomi,Cumhurbaşkanı Yardımcısı Yılmaz'dan ekonomi değerlendirmesi,https://www.hurriyet.com.tr/ekonomi/cumhurbaskani-yardimcisi-yilmazdan-ekonomi-degerlendirmesi-42914657
2025-03-14 07:52:00,Ekonomi,Vodafone uydu üzerinden mobil iletişim çalışmalarına hız verdi,https://www.hurriyet.com.tr/ekonomi/vodafone-uydu-uzerinden-mobil-iletisim-calismalarina-hiz-verdi-42728153
2025-02-19 10:15:29,Ekonomi,İnşaat seramikleri sektörünün ihracata katkısı arttı,https://www.hurriyet.com.tr/ekonomi/insaat-seramikleri-sektorunun-ihracata-katkisi-artti-42700013
2025-01-10 04:00:00,Ekonomi,Türk kadın girişimci diasporasının izinde.... KAGİDER’in 2025 yol haritasında küresel güçlenme var,https://www.hurriyet.com.tr/ekonomi/turk-kadin-girisimci-diasporasinin-izinde-kagiderin-2025-yol-haritasinda-kuresel-guclenme-var-42653772
2024-11-05 10:45:19,Ekonomi,Milliyet Executive ile İhracatın Yeni Yıldızları,https://www.hurriyet.com.tr/ekonomi/milliyet-executive-ile-ihracatin-yeni-yildizlari-42581927
2024-10-07 07:33:50,Ekonomi,Roberto Righi: Türkiye’ye güveniyor ve yatırım yapıyoruz,https://www.hurriyet.com.tr/ekonomi/roberto-righi-turkiyeye-guveniyor-ve-yatirim-yapiyoruz-42555412
2024-10-06 09:55:00,Ekonomi,Yasa dışı bahis ve suç gelirlerinin aklanmasına karşı mücadele... Bakan Şimşek: Tümüyle engellemeye kararlıyız,https://www.hurriyet.com.tr/ekonomi/yasa-disi-bahis-ve-suc-gelirlerinin-aklanmasina-karsi-mucadele-42554788
2024-10-06 06:53:51,Ekonomi,Türkiye Petrolleri Anonim Ortaklığına Edirne'de bir saha için petrol arama ruhsatı verildi,https://www.hurriyet.com.tr/ekonomi/turkiye-petrolleri-anonim-ortakligina-edirnede-bir-saha-icin-petrol-arama-ruhsati-verildi-42554622
2024-10-06 04:00:00,Ekonomi,Trafikte 'Xenon far' terörü,https://www.hurriyet.com.tr/ekonomi/trafikte-xenon-far-teroru-42554588
2024-10-03 14:00:27,Ekonomi,"Bakan Uraloğlu: Lacivert yol, büyük bir fırsat sunmaktadır",https://www.hurriyet.com.tr/ekonomi/bakan-uraloglu-lacivert-yol-buyuk-bir-firsat-sunmaktadir-42552636
2024-10-03 12:11:00,Ekonomi,TCMB Başkanı Karahan'dan faiz mesajı,https://www.hurriyet.com.tr/ekonomi/tcmb-baskani-karahandan-faiz-mesaji-42552459
2024-10-03 11:39:00,Ekonomi,Yılmaz: Dezenflasyon sürecini tesis etmeye devam ediyoruz,https://www.hurriyet.com.tr/ekonomi/yilmaz-dezenflasyon-surecini-tesis-etmeye-devam-ediyoruz-42552393
2024-10-03 11:30:00,Ekonomi,Son dakika... Merkez Bankası'nın rezervlerinde rekor,https://www.hurriyet.com.tr/ekonomi/son-dakika-merkez-bankasi-rezervlerini-acikladi-42551793
2024-10-03 11:19:00,Ekonomi,Kredilerde artış sürüyor,https://www.hurriyet.com.tr/ekonomi/kredilerde-artis-suruyor-42552366
2024-10-03 11:11:44,Ekonomi,Bakan Uraloğlu'ndan 12 yeni iç hat müjdesi,https://www.hurriyet.com.tr/ekonomi/bakan-uraloglundan-12-yeni-ic-hat-mujdesi-42552357
2024-10-03 11:00:00,Ekonomi,KKM'de düşüşe devam,https://www.hurriyet.com.tr/ekonomi/kkmde-dususe-devam-42551792
2024-10-03 10:06:00,Ekonomi,Avrupa'da ÜFE yükseldi,https://www.hurriyet.com.tr/ekonomi/avrupada-ufe-yukseldi-42552247
2024-10-03 10:04:34,Ekonomi,İstanbul Havalimanı Avrupa'nın en yoğunu,https://www.hurriyet.com.tr/ekonomi/istanbul-havalimani-avrupanin-en-yogunu-42552243
2024-10-03 10:01:40,Ekonomi,Bakan Bolat: 4 ayda enflasyon yüzde 26.5 düştü,https://www.hurriyet.com.tr/ekonomi/bakan-bolat-4-ayda-enflasyon-yuzde-26-5-dustu-42552234
2026-04-27 21:27:21,Spor,İlhan Palut: 'Momentumu yakalamışken bırakmayalım!',https://www.hurriyet.com.tr/sporarena/ilhan-palut-momentumu-yakalamisken-birakmayalim-43160790
